ID,sprite,name,type,faction,text,F_Atk,B_Atk,gem,rank
0111000,f1_minion001,황영웅,hero,f1,기사를 지휘하는 황색 영웅,0,0,,
0111001,f1_minion001,대신관,minion,f1,빛의 마력으로 기적을 일으키는 신관,3,10,1,1
0111002,f1_minion002,콤뱃 타이거,minion,f1,마력을 다루도록 훈련된 성수,7,3,2,2
0111003,f1_minion003,발키리,minion,f1,전장을 축복하는 천사,3,3,3,3
0111004,f1_minion004,그랜드마스터,minion,f1,오랫동안 콜로세움을 지배한 영웅,12,7,4,4
0111005,f1_minion005,챔피언 ,minion,f1,콜로세움의 새로운 도전자,8,5,5,5
0111006,f1_minion006,라이트 캐스터,minion,f1,빛을 뿜어내는 마법을 다루는 자,4,8,1,1
0111007,f1_minion007,가디언,minion,f1,침입자를 파괴하도록 만들어진 고대병기,8,8,2,2
0111008,f1_minion008,아쳐,minion,f1,빛의 화살을 쏘는 궁사,4,5,3,3
0111009,f1_minion009,몽크 ,minion,f1,주먹에 빛의 힘을 담아 싸우는 투사,3,8,4,4
0111010,f1_minion010,스피어맨,minion,f1,최전방에서 적진을 뜷어내는 창술사,9,0,5,5
0111011,f1_minion009,백기사,minion,f1,명예를 위해 싸우는 검사,7,5,1,1
0111012,f1_minion010,라이트라이언,minion,f1,빛의 힘을 가진 성수,3,8,2,2
0141000,f4_hero_01,자영웅,hero,f4,악마를 부리는 자색의 영웅,0,0,,
0141001,f4_minion001,자이언트 캐터필러,minion,f4,영혼을 빨아먹는 거대한 기생충,2,7,1,1
0141002,f4_minion002,데몬 로드,minion,f4,악마의 정점에 도달한 자,10,10,2,2
0141003,f4_minion003,마계의 남작,minion,f4,하급 마족을 부리는 마계의 귀족들,3,8,3,3
0141004,f4_minion004,승천자,minion,f4,악마를 숭배하는 악마교의 고위사제,9,0,4,4
0141005,f4_minion005,혼돈의 융합체,minion,f4,여러 생명체가 모여서 만들어진 끔찍한 괴수,7,2,5,5
0141006,f4_minion006,베헤모스,minion,f4,거대한 육신으로 땅을 덮는 악마,4,13,1,1
0141007,f4_minion007,다크 소서러,minion,f4,어둠에 몸이 잠식된 대마도사,8,5,2,2
0141008,f4_minion008,처형인 ,minion,f4,거대한 도끼로 목숨을 거두는것을 즐기는 악마,5,2,3,3
0141009,f4_minion009,흑기사,minion,f4,데몬 로드의 명령에 절대 복종하는 악마,8,3,4,4
0141010,f4_minion010,네크로멘서,minion,f4,악령을 다루는 흑마도사,6,6,5,5
0141011,f4_minion011,데몬 스콜피오,minion,f4,마계의 독을 찔러넣는 전갈,3,5,1,1
0171001,f7_minion001,메카노이드 테러,minion,f7,전장을 융단폭격하는 강철의 지배자,11,5,1,3
0171002,f7_minion002,이차원의 방문자,minion,f7,차원을 갈라 우주너머를 열 수 있는 초월적 존재,15,0,2,4
0171003,f7_minion003,테트라 블래스터,minion,f7,로스트 테크놀로지로 만들어진 휴머로이드,5,11,3,5
0171004,f7_minion004,뼈 분쇄자,minion,f7,패자를 묵사발 내는데에 희열을 느끼는 전투광,6,2,4,1
0171005,f7_minion005,신전의 수호자,minion,f7,고대 신전을 수호하도록 계약된 창의 달인,1,8,5,2
0171006,f7_minion006,춤추는 칼,minion,f7,주인없이 허공을 떠도는 귀신들린 무기,8,1,1,3
0171007,f7_minion007,불과 얼음의 심판자,minion,f7,불과 얼음의 균형을 이루며 존재하는 정령,7,7,2,4
